City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
26,Venado Tuerto,AR,68.79,light rain,-33.7456,-61.9688,Hotel - Miro Park
34,Hermanus,ZA,65.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Hobart,AU,66.02,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
69,New Norfolk,AU,65.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
75,Kanye,BW,66.63,light rain,-24.9667,25.3327,The Savanna Lodge
84,Chabahar,IR,68.11,clear sky,25.2919,60.643,هتل گدروشیا
107,Taltal,CL,68.22,clear sky,-25.4,-70.4833,Residencial Karime
109,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
127,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
137,Murchison,NZ,67.42,overcast clouds,-41.8,172.3333,OFF THE BEATEN TRAIL ACCOMMODATION & BIKE HIRE.
175,Kasongo-Lunda,CD,69.22,overcast clouds,-6.4667,16.8167,
182,Rawson,AR,67.62,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
191,Andros Town,BS,69.76,overcast clouds,24.7,-77.7667,Hanks place
205,Nouadhibou,MR,67.5,clear sky,20.931,-17.0347,El Medina
223,Ulundi,ZA,68.74,clear sky,-28.3352,31.4162,Ekhethelo Lodge Ulundi
227,Ritchie,ZA,68.54,light rain,-29.038,24.6028,Riverside Country Club Modderrivier
239,Abasolo,MX,65.14,scattered clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
240,Birao,CF,67.89,broken clouds,10.2849,22.7882,
241,Mount Gambier,AU,66.45,scattered clouds,-37.8333,140.7667,The Commodore
242,Paidha,UG,66.2,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
253,El Campo,US,68.83,mist,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
292,Coahuayana,MX,67.19,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
304,Umm Lajj,SA,68.34,clear sky,25.0213,37.2685,Moon light Furnished Units
326,Hokitika,NZ,66.09,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
329,Rumonge,BI,69.93,light rain,-3.9736,29.4386,Kwetu Guest House
354,Adeje,ES,68.56,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
356,Port Lincoln,AU,67.06,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
362,Graaff-Reinet,ZA,68.92,light rain,-32.2522,24.5308,Rietjiesbos Self Catering
363,Nishihara,JP,65.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
367,Brenham,US,67.42,overcast clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
386,Knysna,ZA,68.38,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
388,Nueve De Julio,AR,67.71,light rain,-35.4444,-60.8831,Grand Hotel Libertad - GHL
389,Kindu,CD,69.44,overcast clouds,-2.95,25.95,Résidence Okanda
427,Kalemie,CD,68.79,light rain,-5.9475,29.1947,Mahobilali
435,Kaniama,CD,65.86,overcast clouds,-7.5667,24.1833,
448,Tiangua,BR,65.39,broken clouds,-3.7322,-40.9917,Hotel São Francisco
465,Meiktila,MM,69.26,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
469,Kangaba,ML,67.91,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
500,Kasangulu,CD,68.95,light rain,-4.5911,15.1708,Hôtel le Relais
504,Port Macquarie,AU,68.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
510,Shakawe,BW,66.33,clear sky,-18.3667,21.85,Ditlhapi Guest House
520,Necochea,AR,67.03,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
538,Ebebiyin,GQ,67.26,broken clouds,2.1511,11.3353,Vallée-du-Ntem
545,Pascagoula,US,65.05,overcast clouds,30.3658,-88.5561,Regency Inn
549,Los Llanos De Aridane,ES,65.12,scattered clouds,28.6585,-17.9182,Valle Aridane
551,Sakassou,CI,65.88,scattered clouds,7.4546,-5.2926,Parents de Damienne
553,Copiapo,CL,66.72,clear sky,-27.3667,-70.3333,San Francisco de La Selva
563,Vera Cruz,BR,68.11,clear sky,-12.6333,-41.0333,
585,Los Andes,CL,69.58,clear sky,-32.8337,-70.5983,Hotel Los Andes
602,Bousso,TD,65.55,clear sky,10.4795,16.7117,
605,Kawardha,IN,65.1,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
618,Maua,BR,69.6,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
635,Barinas,VE,69.84,few clouds,8.6226,-70.2075,Hotel Mastranto Suite
639,Tacoronte,ES,65.55,overcast clouds,28.4769,-16.4102,Casa Laurel
659,Hwange,ZW,67.23,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
665,Xuddur,SO,69.57,broken clouds,4.1213,43.8894,Banjanay Hotel
667,Mango,US,69.98,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
681,Spring Hill,US,69.94,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
