,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,35,0,12.66,clear sky
1,Butaritari,KI,3.0707,172.7902,81.61,78,100,15.64,light rain
2,Kantunilkin,MX,21.0917,-87.45,78.64,99,6,3.42,clear sky
3,Humaita,BR,-7.5061,-63.0208,73.71,99,100,1.97,overcast clouds
4,Namatanai,PG,-3.6667,152.4333,79.27,83,100,8.86,light rain
5,Kapaa,US,22.0752,-159.319,78.78,70,75,1.01,broken clouds
6,Canutama,BR,-6.5339,-64.3831,73.33,99,100,1.28,moderate rain
7,Arraial Do Cabo,BR,-22.9661,-42.0278,75.33,88,100,4.99,overcast clouds
8,Airai,TL,-8.9266,125.4092,71.78,65,100,5.3,overcast clouds
9,Lazurne,UA,46.084,32.5295,33.03,91,100,8.05,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,66.11,88,0,9.08,clear sky
11,Tighina,MD,46.8306,29.4711,31.28,62,100,4.63,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,73.29,92,87,10.65,overcast clouds
13,Newport,GB,51.5877,-2.9984,47.44,88,100,9.17,overcast clouds
14,Sechura,PE,-5.5569,-80.8222,72.41,73,46,13.04,scattered clouds
15,Severo-Kurilsk,RU,50.6789,156.125,30.7,77,100,9.71,overcast clouds
16,Caravelas,BR,-17.7125,-39.2481,75.45,91,17,3.4,few clouds
17,Half Moon Bay,US,37.4636,-122.4286,57.87,56,0,6.91,haze
18,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,1.14,clear sky
19,Touros,BR,-5.1989,-35.4608,79.7,78,54,10.87,broken clouds
20,Busselton,AU,-33.65,115.3333,84.09,33,84,10.67,broken clouds
21,Vardo,NO,70.3705,31.1107,29.57,56,100,18.95,light snow
22,Atuona,PF,-9.8,-139.0333,78.84,76,100,16.53,overcast clouds
23,Mehriz,IR,31.5917,54.4318,41.45,33,0,3.65,clear sky
24,Guerrero Negro,MX,27.9769,-114.0611,60.17,28,0,17.81,clear sky
25,Hilo,US,19.7297,-155.09,74.93,79,100,8.05,overcast clouds
26,Venado Tuerto,AR,-33.7456,-61.9688,68.79,87,98,10.83,light rain
27,Arlit,NE,18.7369,7.3853,57.51,19,0,12.48,clear sky
28,Kenai,US,60.5544,-151.2583,22.03,82,75,6.91,broken clouds
29,Chambas,CU,22.1928,-78.9136,73.02,84,3,10.25,clear sky
30,Sitka,US,57.0531,-135.33,37.29,93,100,3.44,mist
31,Punta Arenas,CL,-53.15,-70.9167,46.11,72,75,4.61,broken clouds
32,Pedernales,DO,18.0384,-71.744,75.99,74,4,3.74,clear sky
33,Fairbanks,US,64.8378,-147.7164,-20.97,71,0,0.0,clear sky
34,Hermanus,ZA,-34.4187,19.2345,65.89,84,0,13.35,clear sky
35,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,0,5.01,clear sky
36,Kununurra,AU,-15.7667,128.7333,87.78,62,75,8.05,broken clouds
37,Were Ilu,ET,10.6,39.4333,47.23,86,100,6.85,overcast clouds
38,Gazanjyk,TM,39.2446,55.5154,44.74,44,2,10.8,clear sky
39,Mahebourg,MU,-20.4081,57.7,79.25,89,100,30.0,moderate rain
40,Sayansk,RU,54.1088,102.1648,-3.89,97,64,1.05,broken clouds
41,Broome,US,42.2506,-75.833,40.37,76,100,1.99,overcast clouds
42,Mount Isa,AU,-20.7333,139.5,83.97,70,100,13.8,overcast clouds
43,Zacatepec,MX,18.65,-99.2,74.64,43,0,1.5,clear sky
44,Dalianwan,CN,39.0286,121.695,33.84,51,0,6.71,clear sky
45,Lesnikovo,RU,55.2822,65.3175,14.79,95,99,9.22,overcast clouds
46,Lebu,CL,-37.6167,-73.65,59.2,91,74,9.66,broken clouds
47,Wanning,CN,18.8003,110.3967,64.67,85,94,12.84,overcast clouds
